external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
it-016,multi,如果客人在结账完成之后才想起来TA是会员，想要补录成长值，该怎么办？,只有结账前登陆才能累积成长值，直接告诉客人无法补录，下次请在结账前告知。,如果是现金支付的订单，请客人登陆后再结账一次，并且将前一单做退单处理。。,如果是支付宝或者微信支付的订单，请客人登陆后再结账一次，并且将前一单做退单处理。,如果是支付宝或者微信支付的订单，请客人登陆后再以现金形式结账一次（无需再次付款），同时记录现金支出在【收银更正】类目下。,,,,,,,,,,,,,,,,,B|C,3,"A. 技术上可以实现，就不该拒绝客人。
C. 支付宝和微信结账都能够利用“退单”功能直接退款到客人原账户。

任何情况下，只要原订单已经支付成功，都不需要客人再支付一次。",it|source-row:16,,
it-017,multi,掌上客如云App可以完成下列哪些功能？,快速点单，并打印小票（连接打印机的情况下）,记录现金付款,收取支付宝/微信付款,查看该门店订单列表及收款记录,查看各门店的营业额与报表,,,,,,,,,,,,,,,,A|B|C|D|E,3,,it|source-row:17,,
it-018,multi,当顾客通过报手机号登陆会员时，发现客如云上显示出的会员等级与该顾客的实际等级不符（低于顾客微信会员卡上显示的等级），应该如何处理？,请顾客在微信会员卡中绑定并激活自己的手机号。,请顾客通过扫客如云上的二维码的方式登录。,在“顾客”功能中查找该手机号对应的会员并手动修改其等级。,在“顾客”功能中查找该手机号对应的会员并手动修改其成长值。,,,,,,,,,,,,,,,,,A|B,3,"出现这种情况通常是因为该顾客有“手机号注册”和“微信号注册”这两个不同的会员账户，两个账户没有打通。
A. 正解
B. 可以解决本次消费的问题，也是正确的。
C. 手动修改等级会造成会员的成长值与实际不符的问题。
D. 成长值是无法修改的，只能通过实际消费来积累。",it|source-row:18,,
it-019,multi,客人有哪些方式可以注册成为T12门店的会员？,用微信扫一扫客如云上的“会员登录”二维码。,关注T12GROUP公众号，在【门店】-【会员中心】领取。,在门店用微信支付成功后，领取微信自动推送的会员卡。,由咖啡师在客如云上登记手机号、手动创建新账户,,,,,,,,,,,,,,,,,A|B,3,D. 对同一个顾客而言，用手机号手动创建的账户和微信上主动领取的会员卡是两个不同的账户。所以应避免使用手机号注册，一律使用微信号注册。,it|source-row:19,,
it-020,multi,用客如云扫客人的微信会员卡时，发现登陆不成功，应该怎么解决？,请客人在公众号内的“个人中心”手动绑定微信号,请客人在微信会员卡内手动绑定手机号,改用输手机号或者客人扫二维码的方式登录,不登陆，手动为客人输入他的会员等级对应的折扣,,,,,,,,,,,,,,,,,A|C,3,,it|source-row:20,,
it-021,multi,在 T12 门店消费时登陆会员有什么用？,可以积分,达到一定等级的会员可以享受咖啡产品折扣,可以累积成长值,达到一定等级可以享受咖啡豆和周边产品折扣,可以在客如云会员页面记录或查询到这一笔消费,,,,,,,,,,,,,,,,C|E,3,"注意，T12的会员卡目前不使用“积分”，客人消费后查看自己的积分是不会有增长的。
任何会员等级都没有任何折扣，但可以正常积累成长值。
所有会员登陆后产生的消费都会被记录在公众号【个人中心】-【订单中心】的【堂食】页面，方便顾客自己查找。",it|source-row:21,,
it-022,multi,某家门店对应的【在线菜单】会显示哪些信息？,当前该门店出的每一支咖啡豆,每支出品的咖啡豆200g对应的零售价,每支出品的咖啡豆做成奶咖、黑咖啡的价格,每支出品咖啡豆的酸、甜、苦数值,每支出品的咖啡豆在该门店的做法选择,,,,,,,,,,,,,,,,A|B|C|E,4,,it|source-row:22,,
it-023,multi,门店某支咖啡豆暂时下架时，应该做哪些操作？,在客如云上将相应的可外卖商品“沽清”（如有外卖）,在外卖商家后台app上删除该支咖啡豆（如有外卖）,在外卖商家后台app上下架该支咖啡豆（如有外卖）,通知【软件工程】修改线上菜单（如有）,,,,,,,,,,,,,,,,,A|D,3,"A. 为推荐做法，也可以通过在外卖商家后台app上将该支咖啡豆的库存“清零”来达到同样的目的。
B\C 一般情况下，请勿随意删除或者下架咖啡豆，此项操作由门店运营支持角色负责。",it|source-row:23,,
it-024,multi,以下哪些事情可以在T12GROUP公众号上完成？,获取T12网店地址,查看每一家门店当天的豆单,获取T12推荐的东京咖啡馆列表,阅读招聘启事和投递简历,找到现有每家T12门店的地址和营业时间信息,阅读T12发布的滴滤咖啡冲煮指南与器具推荐,获取并阅读T12历史文章合集,联系T12客服,,,,,,,,,,,,,A|C|D|E|F|G|H,4,,it|source-row:24,,
it-025,multi,在门店当班时若收到订购的牛奶，应做哪些操作？,对单据进行拍照，发到钉钉群里。,根据单据内容，在客如云收银机上做采购入库操作,根据单据内容，在掌上客如云app上做采购入库操作,将单据放入门店的专用文件夹内,核对牛奶数量与生产日期等信息,,,,,,,,,,,,,,,,C|D|E,3,,it|source-row:25,,
it-026,judge,门店客如云默认使用网线连接入互联网；只有当网线不可用时，才会使用WI-FI (WLAN）的连接方式。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,it|source-row:26,,
it-027,judge,门店如果使用苹果手机播放音乐的话，可以用咖啡师个人的Apple ID来下载app。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,请统一用门店Apple ID（shop@t12group.com）来管理门店的苹果手机。,it|source-row:27,,
it-028,judge,假设客人购买了一块15元的曲奇后，想换成吐司（18元），客人补了三块现金。那么负责收银的咖啡师应该收下现金，然后在【门店管理】-【收支】中记入3元【收入】。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,正确的做法应该是再下一个单，加入3个【补收款】商品，然后选择【现金/闪收】方式结账。,it|source-row:28,,
it-029,judge,T12团队内的任何人都可以在知识库中新建和编辑自己角色管辖范围内的文档。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,是的，确实是这样。不过修改他人创建的文档前请先征求同意，或者用“评论”的形式提出修改意见。,it|source-row:29,,
it-030,judge,知识库可以从手机钉钉、电脑浏览器、手机浏览器、ipad等各类设备访问和编辑。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,没错,it|source-row:30,,
it-031,judge,T12的会员系统不支持储值消费。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,客如云的会员系统有储值功能，但出于门店经营角度考虑，T12不支持会员卡储值消费。,it|source-row:31,,
it-032,judge,公众号的自动回复关键字支持中文简体、繁体和英文。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,it|source-row:32,,
it-033,fill,我们的公众号名字为[]，公众号id为[]。,,,,,,,,,,,,,,,,,,,,,T12GROUP、T12GROUP|T12GROUP、t12group|t12group、T12GROUP|t12group、t12group,3,,it|source-row:33|needs-review:multi-blank,,
it-034,fill,T12的官网地址是[]？,,,,,,,,,,,,,,,,,,,,,t12group.com|www.t12group.com|T12GROUP.com|T12GROUP.COM,3,,it|source-row:34,,
it-035,qa,要获取T12GROUP公众号的使用说明（如自动回复列表），可以在公众号对话框内输入_________。,,,,,,,,,,,,,,,,,,,,,,3,h/H/帮助  都可以,it|source-row:35|manual-grading,,
it-036,qa,在门店当班的时候收到一个装着水费账单的信封，应该怎么处理？,,,,,,,,,,,,,,,,,,,,,,2,发一封“缴费账单”日志给“财务”角色，在日志中附上账单的照片。纸质账单无需保留。,it|source-row:36|manual-grading,,
