external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
extraction-033,single,"在金杯理论的基础上，SCA 建议的滴滤咖啡最佳TDS区间为_______，浓缩咖啡的最佳
 TDS 区间为_______。",8%~11%，1.15%-1.45%,1.2%-1.35% ， 6%~8%,6%~8%，1.2%-1.35%,1.15%-1.45% ， 8%~11%,,,,,,,,,,,,,,,,,D,2,,extraction|source-row:33|question-no:32,,
extraction-034,single,金杯理论表明，在________的萃取率区间内容易得到平衡的风味。,18%~22%,16%～18%,22%～28%,12%～16%,,,,,,,,,,,,,,,,,A,2,,extraction|source-row:34|question-no:33,,
extraction-035,judge,咖啡的浓度越高，风味越强烈，也就越容易被感知到。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,味蕾很难辨别高浓度的液体，浓度过高时无法正确做出品鉴判断。,extraction|source-row:35|question-no:34,,
extraction-036,single,在BH的浓缩调试框架中，____的调整属于粗调，____的调整属于微调。,粉重 液重,粉重 研磨度,液重 萃取时间,萃取时间 液重,,,,,,,,,,,,,,,,,C,2,,extraction|source-row:36|question-no:35,,
extraction-037,judge,咖啡豆中的纤维素会被水带到咖啡中，构成萃取物的一部分。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,纤维素不溶于水，不属于萃取物。,extraction|source-row:37|question-no:36,,
extraction-038,judge,对于一杯咖啡而言，其浓度是一个确定的数字，可以通过测量和计算获得。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,浓度是一个客观数值，唯一且确定,extraction|source-row:38|question-no:37,,
extraction-039,multi,合适的填压压力应该是_____。,填压至粉锤停止向下移动,每次都一致,让粉床到达最大密度,保证以上前提条件下，尽可能地小,,,,,,,,,,,,,,,,,A|B|C|D,3,,extraction|source-row:39|question-no:38,,
extraction-040,single,咖啡豆中大约含有多少可溶物？,18%,30%,22%,2%,,,,,,,,,,,,,,,,,B,2,烘焙好的咖啡豆中含有约30%（以重量计）的可溶物,extraction|source-row:40|question-no:39,,
extraction-041,single,浓缩咖啡尝起来又苦又涩，可以________,增加粉量,减少液重,增加液重,调细研磨度,,,,,,,,,,,,,,,,,B,2,,extraction|source-row:41|question-no:40,,
extraction-042,qa,为什么在咖啡萃取的过程中要追求均匀？萃取均匀对浓度和萃取率有什么影响？,,,,,,,,,,,,,,,,,,,,,,2.5,,extraction|source-row:42|manual-grading|question-no:41,,
extraction-043,judge,改变粉重是调整萃取时间的一种方法。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,不要通过改变粉重去调整萃取时间！！！,extraction|source-row:43|question-no:42,,
extraction-044,single,按照BH的浓缩调试框架，应该按照以下顺序设定萃取参数：先确定_____，然后确定_____，最后才是_____。,研磨度 粉重 液重,液重 粉重  研磨度,萃取时间 粉重 液重,粉重  液重  萃取时间,,,,,,,,,,,,,,,,,D,2,,extraction|source-row:44|question-no:43,,
