external_id,type,stem,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e,option_image_f,option_image_g,option_image_h,option_image_i,option_image_j,answer,score,explanation,tags,difficulty,image_urls
fire-018,single,用灭火器进行灭火的最佳位置是【   】。,下风位置,上风或侧风位置,离起火点10米以上的位置,,,,,,,,,,,,,,,,,,B,3,,fire|source-row:18,,
fire-019,single,烟头燃烧时中心温度可达【   】，它超过了棉、麻、毛织物、纸张、家具等可燃物的燃点，若乱扔烟头接触到这些可燃物，容易引起燃烧，甚至酿成火灾。,100-200˚C,200-300˚C,700-800˚C,,,,,,,,,,,,,,,,,,C,3,,fire|source-row:19,,
fire-020,single,【   】火灾用水扑救会使火势扩大。,油类,森林,家具,,,,,,,,,,,,,,,,,,A,3,,fire|source-row:20,,
fire-021,single,"电脑着火了,应【   】。",迅速往电脑上泼水灭火,拔掉电源后用湿棉被盖住电脑,"马上拨打火警电话,请消防队来灭火",,,,,,,,,,,,,,,,,,B,3,,fire|source-row:21,,
fire-022,single,火灾初起阶段是扑救火灾【   】的阶段。,最不利,最有利,较不利,,,,,,,,,,,,,,,,,,B,3,,fire|source-row:22,,
fire-023,judge,凡是灭火器都在任何场所使用。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,,fire|source-row:23,,
fire-024,judge,电器或者线路着火可以用水来灭火。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,,fire|source-row:24,,
fire-025,judge,身上着火时，千万不要奔跑，可就地打滚或者用厚重的衣服压灭火。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,fire|source-row:25,,
fire-026,judge,在特殊情况下，单位和个人可以挪用、撤除、埋压、圈占消火栓，临时占用消防通道。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,,fire|source-row:26,,
fire-027,judge,任何人发现火灾时，都应当立即报警，任何单位、个人都应当无偿为报警提供便利，不得阻挠报警，严禁谎报火警。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,fire|source-row:27,,
fire-028,judge,打火警电话时要讲清详细地址、起火部位、起火物、火势大小、报警人姓名和报警电话，并派人到路口迎候消防车。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,fire|source-row:28,,
fire-029,judge,为充分发挥消火栓的作用，允许临时使用消火栓清洗店铺地板。,正确,错误,,,,,,,,,,,,,,,,,,,B,2,,fire|source-row:29,,
fire-030,judge,消防安全重点单位除了要针对本单位特点对职工进行消防宣传教育外，还应对职工进行消防安全培训 。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,fire|source-row:30,,
fire-031,judge,禁止携带易燃易爆化学品乘坐火车。,正确,错误,,,,,,,,,,,,,,,,,,,A,2,,fire|source-row:31,,
fire-032,qa,灭火的基本方法有哪些?,,,,,,,,,,,,,,,,,,,,,,8,"(1)冷却法。降低燃烧物的温度,使温度低于燃点,促使燃烧过程停止。例如使用水灭火。
(2)窒息法。减少燃烧区域的氧气量或采用不燃烧物质冲淡空气,使火焰熄灭。例如用砂土埋没燃烧物,使用二氧化碳灭火器扑救火灾。
(3)隔离法。把燃烧物与未燃烧物隔离。例如将起火点附近的可燃、易燃或助燃物搬走。
(4)抑制法。让灭火剂参与到燃烧反应过程中去,中断燃烧的连锁反应。",fire|source-row:32|manual-grading,,
fire-033,qa,干粉灭火器的使用方法是什么？,,,,,,,,,,,,,,,,,,,,,,6,将干粉灭火器提到可燃物前，站在上风向或侧风面，上下颠倒摇晃几次，拔掉保险销或铅封，一手握住喷嘴，对准火焰根部，一手按下压把，干粉即可喷出。灭火时，要迅速摇摆喷嘴，使粉雾横扫整个火区，由近及远，向前推进，将火扑灭掉。同时注意，不能留有遗火，油品着火，不能直接喷射，以防液体飞溅，造成扑救困难。,fire|source-row:33|manual-grading,,
fire-034,qa,岗位消防安全“四懂四会”是什么？,,,,,,,,,,,,,,,,,,,,,,8,"“四懂”：懂得岗位火灾的危险性，懂得预防火灾的措施，懂得扑救火灾的方法，懂得逃生疏散的方法。
“四会”：会使用消防器材，会报火警，会扑救初起火灾，会组织疏散逃生。",fire|source-row:34|manual-grading,,
